Date,Temperature
2022-01-01,6.216535072903762
2022-01-02,15.134861376269027
2022-01-03,23.424999944443172
2022-01-04,24.896979275995733
2022-01-05,13.693144314563561
2022-01-06,19.865622503789503
2022-01-07,20.698251316365607
2022-01-08,12.96771707503101
2022-01-09,17.368209428585082
2022-01-10,24.137474722893554
2022-01-11,15.972194149144313
2022-01-12,30.09341741055143
2022-01-13,23.537874040221848
2022-01-14,26.52366714843466
2022-01-15,23.42543296039417
2022-01-16,21.477028000639685
2022-01-17,20.113130717629097
2022-01-18,13.610012796417525
2022-01-19,18.447502843733805
2022-01-20,27.30794874037496
2022-01-21,30.0215664242303
2022-01-22,11.91984891630659
2022-01-23,24.595620613567906
2022-01-24,17.677368830399775
2022-01-25,22.82964178100647
2022-01-26,10.664533055758064
2022-01-27,22.671716768703035
2022-01-28,19.84650188672368
2022-01-29,18.131638472419912
2022-01-30,21.130219311932073
2022-01-31,17.667208871164632
2022-02-01,11.510085800764799
2022-02-02,20.82284250531744
2022-02-03,18.809184707483652
2022-02-04,22.45980944195164
2022-02-05,19.416773121085242
2022-02-06,15.842909734268957
2022-02-07,26.24479985961178
2022-02-08,15.518798168926015
2022-02-09,23.467680786543557
2022-02-10,14.603517359770732
2022-02-11,19.49643508327577
2022-02-12,17.38953556628156
2022-02-13,25.4343025462453
2022-02-14,20.25460155226593
2022-02-15,20.858087245509875
2022-02-16,10.929496365946784
2022-02-17,19.587760955109196
2022-02-18,14.202478350187516
2022-02-19,16.65464911096994
2022-02-20,18.21942672210611
2022-02-21,27.088749484387392
2022-02-22,25.040021238754328
2022-02-23,18.51571975562618
2022-02-24,19.199709100746574
2022-02-25,9.235335902057649
2022-02-26,15.168924138059126
2022-02-27,21.960622205098407
2022-02-28,34.83096820042569
2022-03-01,33.73702266090834
2022-03-02,19.453736873142233
2022-03-03,19.362443350053656
2022-03-04,19.791518389280824
2022-03-05,24.994007361500152
2022-03-06,23.998456806837286
2022-03-07,18.849981314769675
2022-03-08,23.531885875874018
2022-03-09,23.210657071741146
2022-03-10,14.863591304744212
2022-03-11,19.00090250314089
2022-03-12,16.60701254074995
2022-03-13,26.85630966640709
2022-03-14,14.444487249598078
2022-03-15,23.722363709412967
2022-03-16,25.165877770626125
2022-03-17,21.996049901353242
2022-03-18,18.98228041237736
2022-03-19,14.72857972020351
2022-03-20,18.01154287210118
2022-03-21,10.915784259080958
2022-03-22,13.56258564504721
2022-03-23,21.896517843174095
2022-03-24,13.508787534131754
2022-03-25,36.606877121630156
2022-03-26,14.068127090856406
2022-03-27,21.95411587083683
2022-03-28,18.342800347328435
2022-03-29,10.045107991824356
2022-03-30,20.8253313965411
2022-03-31,24.64777342857614
2022-04-01,20.599387834862416
2022-04-02,18.774664017807876
2022-04-03,25.483470724011806
2022-04-04,28.02423932867992
2022-04-05,15.330516198704577
2022-04-06,17.16178658803824
2022-04-07,18.720231422725522
2022-04-08,24.006358042433064
2022-04-09,16.448493519179564
2022-04-10,23.692108829703937
2022-04-11,-3.0
2022-04-12,19.30047684035185
2022-04-13,20.138546883281183
2022-04-14,20.183762618975848
2022-04-15,23.564900215276175
2022-04-16,20.22625238144559
2022-04-17,14.9038827388866
2022-04-18,28.989221211306536
2022-04-19,17.382056851259215
2022-04-20,24.1666159034215
2022-04-21,22.743268105920396
2022-04-22,23.538012657109853
2022-04-23,23.70385609932907
